製作日期: 2025-07-24 08:48:04,,,,篩選日期: 2025-05-19 00:00:00 ~ 2025-07-24 23:59:59,,,,,,
發文清單,,,,,,,,,,
共 47 件公文,,,,,,,,,,
序號,發文日期,公文日期,類別,字,文號,發文單位,受文單位,狀態,使用者確認,主旨
16,2025-07-01 15:40:01,中華民國114年7月1日,函,乾坤測,1140000106,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-07-01 16:29:29,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號098之桃園市「虎頭山三聖宮前串連台1線新闢道路工程」協議價購市價查估作業成果電子檔(以電子郵件方式提供)，請查照。
"
17,2025-07-01 15:38:02,中華民國114年7月1日,函,乾坤測,1140000105,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-07-01 16:44:58,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第五批次驗收統計表及案件往來公文乙式，提請貴單位辦理本案驗收，請查照。
"
18,2025-07-01 15:08:43,中華民國114年7月1日,函,乾坤測,1140000104,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-07-01 16:01:41,"有關「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」新增查估執行廠商一事，詳如說明，請查照。
"
19,2025-06-30 14:50:21,中華民國114年6月30日,函,乾坤測,1140000103,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-06-30 15:40:09,"檢送本公司辦理「桃園市平鎮東龍科技園區聯外道路拓寬工程」案內土地協議市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
20,2025-06-27 13:39:13,中華民國114年6月27日,函,乾坤測,1140000102,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-27 14:19:10,"有關貴段「114年第1、2次一般災害」明細資料，本公司已完成更新及上傳「省道邊坡全生命週期維護管理系統」，請查照。
"
21,2025-06-27 09:57:29,中華民國114年6月27日,函,乾坤測,1140000101,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-06-27 10:58:15,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號100之桃園市「平鎮區平東路239巷94弄至華安街」道路工程內平鎮區東安段509-1地號土地協議價購市價查估作業成果電子檔(以電子郵件方式提供)，請查照。
"
22,2025-06-20 14:13:10,中華民國114年6月20日,函,乾坤測,1140000098,乾坤測繪科技有限公司,"A15030200HU121900
(交通部公路局中區養護工程分局埔里工務段)
",使用者確認,2025-06-20 14:53:08,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」之第末期估驗計價表乙式4份，請查照。
"
23,2025-06-19 10:24:27,中華民國114年6月19日,函,乾坤測,1140000097,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-19 11:21:53,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」114年6月安全衛生協議組織會議紀錄1份，請查照。
"
24,2025-06-18 13:07:15,中華民國114年6月18日,函,乾坤測,1140000096,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-18 13:56:54,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之汛期前綜合評估報告(修正版)乙式，請查照。
"
25,2025-06-17 12:54:17,中華民國114年6月17日,開會通知單,乾坤測,1140000095,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-17 13:31:43,"「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」114年6月份安全衛生協議組織會議
"
26,2025-06-17 09:29:58,中華民國114年6月17日,函,乾坤測,1140000094,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-06-17 10:27:40,"檢送「大漢溪左岸新闢道路工程」用地取得協議價購核章版不動產估價報告書1式3份，請查照。
"
27,2025-06-16 14:03:44,中華民國114年6月16日,函,乾坤測,1140000093,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-16 14:56:51,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之「邊坡檢測工作執行計畫」(核定版)1式5份，請查照。
"
28,2025-06-13 17:44:45,中華民國114年6月13日,函,乾坤測,1140000092,乾坤測繪科技有限公司,"A15030200HU121900
(交通部公路局中區養護工程分局埔里工務段)
",使用者確認,2025-06-16 09:54:03,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」之「驗收缺失改善覆核報告」乙式，請查照。
"
29,2025-06-13 17:44:45,中華民國114年6月13日,函,乾坤測,1140000092,乾坤測繪科技有限公司,"A15030200H
(交通部公路局中區養護工程分局)
",使用者確認,2025-06-16 09:51:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」之「驗收缺失改善覆核報告」乙式，請查照。
"
30,2025-06-12 09:59:39,中華民國114年6月12日,函,乾坤測,1140000091,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-06-12 11:12:04,"有關「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」新增查估執行廠商一事，詳如說明，請查照。
"
31,2025-06-09 14:37:44,中華民國114年6月9日,函,乾坤測,1140000090,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-09 15:19:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之第二季評估報告乙式，請查照。
"
32,2025-06-04 14:57:36,中華民國114年6月4日,函,乾坤測,1140000089,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-04 15:44:50,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」114年5月安全衛生協議組織會議紀錄1份，請查照。
"
33,2025-06-03 13:49:28,中華民國114年6月3日,函,乾坤測,1140000088,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-06-03 14:29:11,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之「邊坡口卡系統遠端建置工作」相關儀器規格確認單乙式，請查照。
"
34,2025-06-02 10:24:23,中華民國114年6月2日,函,乾坤測,1140000087,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-06-02 11:16:02,"檢送本公司辦理「龍潭區龍新路道路拓寬(直坑尾橋至三和段1240巷)」市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
35,2025-05-29 10:00:52,中華民國114年5月29日,函,乾坤測,1140000086,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-29 10:43:24,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之汛期前綜合評估報告乙式，請查照。
"
36,2025-05-27 14:01:37,中華民國114年5月27日,函,乾坤測,1140000085,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 14:44:58,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」保險相關單據，如說明二，請查照。
"
37,2025-05-27 11:47:33,中華民國114年5月27日,函,乾坤測,1140000084,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 12:39:40,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」開工報告書1式4份，請查照。
"
38,2025-05-27 11:47:33,中華民國114年5月27日,函,乾坤測,1140000084,乾坤測繪科技有限公司,"A15030200H
(交通部公路局中區養護工程分局)
",使用者確認,2025-05-27 12:39:56,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」開工報告書1式4份，請查照。
"
39,2025-05-27 11:47:04,中華民國114年5月27日,函,乾坤測,1140000083,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 12:40:12,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」保密協定及切結書1式4份，請查照。
"
40,2025-05-27 11:38:51,中華民國114年5月27日,函,乾坤測,1140000082,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 12:22:27,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」人員清冊乙式，請查照。
"
41,2025-05-27 11:36:50,中華民國114年5月27日,函,乾坤測,1140000081,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-27 12:22:59,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」職業安全衛生業務人員設置報備書乙式，請查照。
"
42,2025-05-26 15:24:37,中華民國114年5月26日,函,乾坤測,1140000080,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-26 16:04:34,"本公司承攬貴段「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」，其中無人機(UAV)航攝作業委任上升空間資訊股份有限公司進行相關作業，並檢附公司合作同意書與交通部民用航空局遙控無人機能力審查核准證明，請查照。
"
43,2025-05-26 15:17:18,中華民國114年5月26日,函,乾坤測,1140000079,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-26 16:05:05,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之施工風險評估報告乙式，請查照。
"
44,2025-05-26 15:06:47,中華民國114年5月26日,函,乾坤測,1140000078,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-05-26 16:10:42,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」-派工單號094之「泰豐工商綜合區聯外道路案」橫斷面1/100測量作業成果乙式，請查照。
"
45,2025-05-22 15:08:04,中華民國114年5月22日,函,乾坤測,1140000077,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-05-22 16:05:09,"檢送本公司辦理桃園市「八德區豐田路至捷運綠線G02站道路開闢工程」用地範圍土地協議價購市價查估作業修正後成果電子檔(以電子郵件方式提供)，請查照。
"
46,2025-05-21 12:20:24,中華民國114年5月21日,函,乾坤測,1140000076,乾坤測繪科技有限公司,"380110000G
(桃園市政府工務局)
",使用者確認,2025-05-21 13:17:02,"檢送本公司辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第四批次驗收統計表及案件往來公文乙式，提請貴單位辦理本案驗收，請查照。
"
47,2025-05-21 11:19:25,中華民國114年5月21日,函,乾坤測,1140000075,乾坤測繪科技有限公司,"A15030200HU122000
(交通部公路局中區養護工程分局信義工務段)
",使用者確認,2025-05-21 12:01:54,"檢送「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」之「邊坡檢測工作執行計畫」1式6份，請查照。
"
