製作日期: 2025-06-19 15:49:07,,,,篩選日期: 2025-05-08 00:00:00 ~ 2025-06-19 23:59:59,,,,,
收文清單,,,,,,,,,
共 42 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
11,2025-06-11 12:44:45,中華民國114年6月11日,函,桃工用,1140022761,"檢還「大漢溪左岸新闢道路工程」用地取得協議價購不動產估價報告書，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
12,2025-06-11 11:39:35,中華民國114年6月11日,函,桃工用,1140022926,"檢送本局委託貴公司辦理本市「八德區和強路（和平路至延平路）拓寬工程」需用土地地上物查估作業，請再次查估檢視本市八德區中華段1328-2地號地價及地上物，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
13,2025-06-10 15:16:50,中華民國114年6月10日,開會通知單,府工用,1140154199,"桃園市「桃園區同德十二街道路開闢工程」用地取得協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
14,2025-06-10 15:00:23,中華民國114年6月9日,函,(114)永能新,1140010476,"敬邀貴單位參加「2025亞太暨台灣永續行動獎」評選活動，展現永續施政績效，敬請協助公告並轉知所屬，鼓勵踴躍報名參加，請查照。
",財團法人台灣永續能源研究基金會,"EB50819619
乾坤測繪科技有限公司",收文完成
15,2025-06-10 09:25:53,中華民國114年6月9日,函,中分局養,1145018610,"檢送本分局114年6月9日辦理「埔里工務段、信義工務段優先關注邊坡光達應用暨進階圖資建置計畫(第六期)」驗收紀錄1份，相關驗收缺失，請貴公司於114年6月18日內完成改善，並報本分局埔里工務段核辦，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
16,2025-06-06 14:13:47,中華民國114年6月6日,函,桃工用,1140022047,"有關貴公司提請辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第四批次部分驗收一案，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
17,2025-06-05 10:53:45,中華民國114年6月5日,函,桃工用,1140021771,"有關本市「虎頭山三聖宮前串連台1線新闢道路工程」及「平鎮區平東路239巷94弄至華安街道路工程」用地取得土地徵收補償查估審議2案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
18,2025-06-04 17:22:15,中華民國114年6月4日,函,中分局單信,1145018160,"檢送本段114年5月27日召開「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」開工前協調會議紀錄1份，業經本分局同意備查，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
19,2025-06-03 14:33:24,中華民國114年6月3日,函,桃工用,1140021661,"有關本局召開「複估本市「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」案內中華段1044及1046地號土地地上物(電表及水表)」會勘，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
20,2025-05-29 14:24:04,中華民國114年5月29日,開會通知單,府工用,1140146400,"本市「八德區和強路(和平路至延平路)拓寬工程」協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
21,2025-05-29 14:23:56,中華民國114年5月29日,函,桃工用,1140021017,"有關貴公司檢送「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」－派工單(090)之本市桃園區「國強一街至文中路道路開闢工程」導線及1/500地形測量作業成果乙式，同意核定，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
22,2025-05-28 12:42:53,中華民國114年5月28日,函,桃工用,11400208941,"檢送「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」派工範圍土地清冊1份，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
23,2025-05-28 12:42:43,中華民國114年5月28日,函,桃工用,1140020894,"檢送「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」派工範圍土地清冊1份，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
24,2025-05-28 08:54:35,中華民國114年5月28日,函,中分局養,1145017209,"「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」派員驗收案，如說明，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
25,2025-05-26 14:11:30,中華民國114年5月26日,函,桃工用,1140020412,"檢送114年4月17日辦理桃園市平鎮東龍科技園區聯外道路拓寬工程用地取得協議價購土地市價審查會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
26,2025-05-26 12:44:19,中華民國114年5月26日,會勘通知單,桃工用,1140020294,"複估本市「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」案內中華段1044及1046地號土地地上物(電表及水表)
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
27,2025-05-23 14:45:31,中華民國114年5月23日,函,桃工用,1140020094,"檢送有關本局辦理本市「龍潭區龍新路三和段道路拓寬(直坑尾橋至三和段1240巷)」協議價購土地市價審查會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
28,2025-05-23 10:41:05,中華民國114年5月23日,函,中分局單信,1145016723,"有關所提「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」邊坡檢測工作執行計畫一案，本段同意核定，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
29,2025-05-23 10:40:57,中華民國114年5月23日,開會通知單,中分局單信,1145016725,"「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」開工前協調會暨安全衛生協議組織會議
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
30,2025-05-22 15:42:31,中華民國114年5月22日,函,桃工用,1140019197,"函轉本府地政局檢送「114年本市地價及標準地價評議委員會預為審查專案小組第5次會議」會議紀錄，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
31,2025-05-21 15:03:08,中華民國114年5月21日,開會通知單,府工用,1140138998,"桃園市「桃園區國強一街至文中路道路開闢工程」用地取得協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
32,2025-05-21 14:50:07,中華民國114年5月21日,開會通知單,府工用,1140138998,"桃園市「桃園區國強一街至文中路道路開闢工程」用地取得協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
33,2025-05-19 16:30:51,中華民國114年5月19日,函,桃工用,1140018727,"有關本局辦理「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」一案，復如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
34,2025-05-16 13:41:33,中華民國114年5月16日,函,朴地用,1140003356,"貴公司參加本所「114年度圖根點清理補建新建測量作業」招標，決標事項如說明，請查照。
",嘉義縣朴子地政事務所,"EB50819619
乾坤測繪科技有限公司",收文完成
35,2025-05-15 16:01:55,中華民國114年5月15日,函,桃工用,1140018365,"有關本市「八德區豐田路至捷運綠線G02站道路開闢工程」用地協議價購市價查估報告書（修正版），請依本市八德地政事務所審查意見再行修正，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
36,2025-05-15 15:13:55,中華民國114年5月15日,函,桃工用,1140018216,"有關「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」工作計畫書修正版核定一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
37,2025-05-13 16:36:10,中華民國114年5月13日,函,朴地用,1140003269,"貴公司參加本所辦理「114年度圖根點清理補建新建測量作業」投標，經審查資格符合本案需求，請於114年5月15日上午9時40分出席企劃書評審會議備詢，請查照。
",嘉義縣朴子地政事務所,"EB50819619
乾坤測繪科技有限公司",收文完成
38,2025-05-13 12:17:07,中華民國114年5月13日,函,桃工用,1140018371,"為辦理本市「楊梅都市計畫（幼獅路一段東側產業遊樂區）旁公園用地取得」協議價購市價一案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司（協力廠商：大有國際不動產估價師聯合事務所）",收文完成
39,2025-05-13 08:17:21,中華民國114年5月12日,函,中分局養,1145014908B,"本分局訂於114年5月21日(星期三)上午9時0分假本分局1樓開標室辦理「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」議價，請貴公司備妥相關證件出席，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
40,2025-05-13 08:17:13,中華民國114年5月12日,函,中分局養,1145015166,"貴公司檢送之「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」整年度綜合評估報告(修正版)一式6份，本分局「同意核定」，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
41,2025-05-09 15:18:50,中華民國114年5月9日,函,桃工用,1140017453,"有關本市「楊梅區新農街378巷13弄道路打通」用地取得土地徵收補償查估審議1案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
42,2025-05-09 11:52:43,,,,1140017453,"
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文異常
